Invoice no,Date of issue,Invoice Summary,Combined
40378170,10/15/2012,"Seller:
Patel, Thompson and Montgomery
356 Kyle Vista
New James, MA 46228
Tax Id: 958-74-3511
IBAN: GB77WRBQ31965128414006
Client:
Jackson, Odonnell and Jackson
267 John Track Suite 841
Jenniferville, PA 98601
Tax Id: 998-87-7723
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Leed's Wine Companion Bottle
Corkscrew Opener Gift Box Set
with Foil Cutter
1.
1,00
each
 7,50
 7,50
 10%
 8,25
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 7,50
 0,75
 8,25
 
 Total
 $ 7,50
 $ 0,75
 $ 8,25","40378170 10/15/2012 Seller:
Patel, Thompson and Montgomery
356 Kyle Vista
New James, MA 46228
Tax Id: 958-74-3511
IBAN: GB77WRBQ31965128414006
Client:
Jackson, Odonnell and Jackson
267 John Track Suite 841
Jenniferville, PA 98601
Tax Id: 998-87-7723
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Leed's Wine Companion Bottle
Corkscrew Opener Gift Box Set
with Foil Cutter
1.
1,00
each
 7,50
 7,50
 10%
 8,25
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 7,50
 0,75
 8,25
 
 Total
 $ 7,50
 $ 0,75
 $ 8,25"
61356291,9/6/2012,"Seller:
Chapman, Kim and Green
64731 James Branch
Smithmouth, NC 26872
Tax Id: 949-84-9105
IBAN: GB50ACIE59715038217063
Client:
Rodriguez-Stevens
2280 Angela Plain
Hortonshire, MS 93248
Tax Id: 939-98-8477
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Wine Glasses Goblets Pair Clear
Glass
1.
5,00
each
12,00
 60,00
 10%
 66,00
 
With Hooks Stemware Storage
Multiple Uses Iron Wine Rack
Hanging Glass
2.
4,00
each
28,08
 112,32
 10%
 123,55
 
Replacement Corkscrew Parts
Spiral Worm Wine Opener Bottle
Houdini
3.
1,00
each
 7,50
 7,50
 10%
 8,25
 
HOME ESSENTIALS GRADIENT
STEMLESS WINE GLASSES SET
OF 4 20 FL OZ (591 ml) NEW
4.
1,00
each
12,99
 12,99
 10%
 14,29
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 192,81
 19,28
 212,09
 
 Total
 $ 192,81
 $ 19,28
 $ 212,09","61356291 09/06/2012 Seller:
Chapman, Kim and Green
64731 James Branch
Smithmouth, NC 26872
Tax Id: 949-84-9105
IBAN: GB50ACIE59715038217063
Client:
Rodriguez-Stevens
2280 Angela Plain
Hortonshire, MS 93248
Tax Id: 939-98-8477
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Wine Glasses Goblets Pair Clear
Glass
1.
5,00
each
12,00
 60,00
 10%
 66,00
 
With Hooks Stemware Storage
Multiple Uses Iron Wine Rack
Hanging Glass
2.
4,00
each
28,08
 112,32
 10%
 123,55
 
Replacement Corkscrew Parts
Spiral Worm Wine Opener Bottle
Houdini
3.
1,00
each
 7,50
 7,50
 10%
 8,25
 
HOME ESSENTIALS GRADIENT
STEMLESS WINE GLASSES SET
OF 4 20 FL OZ (591 ml) NEW
4.
1,00
each
12,99
 12,99
 10%
 14,29
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 192,81
 19,28
 212,09
 
 Total
 $ 192,81
 $ 19,28
 $ 212,09"
16662010,8/28/2016,"Seller:
Smith-Cook
174 Justin Causeway
West Michaelmouth, ME 69894
Tax Id: 959-84-2124
IBAN: GB20BAKH22085364527355
Client:
Snyder-Johnson
05173 Heather Mill
Jenniferfort, WV 79662
Tax Id: 938-85-4960
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Nintendo Gameboy Pocket
Console Green with Box
MGB-001 Japan Tested Working
59
1.
1,00
each
65,00
 65,00
 10%
 71,50
 
New Sony Playstation 4 Slim
1TB 3 Game Bundle Console.
Sealed!!!
2.
3,00
each
399,99
 1 199,97
10%
 1 319,97
Atari Flashback 4 Classic Game
Console 75 built in games
Space Invaders Asteroid
3.
4,00
each
 8,50
 34,00
 10%
 37,40
 
Sony PlayStation 1 PS1 Console
model scph-7501
4.
4,00
each
14,99
 59,96
 10%
 65,96
 
Nintendo Wii Console - 2
Remotes w/ Covers, Nunchucks,
Sensor Sega Game Bundle
5.
1,00
each
85,00
 85,00
 10%
 93,50
 
Sony PlayStation 3 PS3 Super
Slim Black Console 20 GB
*Tested* Console & Cables
6.
4,00
each
99,95
 399,80
 10%
 439,78
 
Nintendo Gameboy Pocket
Console Green with Box
MGB-001 Japan Tested Working
55
7.
3,00
each
70,00
 210,00
 10%
 231,00
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 2 053,73
 205,37
 2 259,10
 
 Total
 $ 2 053,73
 $ 205,37
 $ 2 259,10","16662010 08/28/2016 Seller:
Smith-Cook
174 Justin Causeway
West Michaelmouth, ME 69894
Tax Id: 959-84-2124
IBAN: GB20BAKH22085364527355
Client:
Snyder-Johnson
05173 Heather Mill
Jenniferfort, WV 79662
Tax Id: 938-85-4960
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Nintendo Gameboy Pocket
Console Green with Box
MGB-001 Japan Tested Working
59
1.
1,00
each
65,00
 65,00
 10%
 71,50
 
New Sony Playstation 4 Slim
1TB 3 Game Bundle Console.
Sealed!!!
2.
3,00
each
399,99
 1 199,97
10%
 1 319,97
Atari Flashback 4 Classic Game
Console 75 built in games
Space Invaders Asteroid
3.
4,00
each
 8,50
 34,00
 10%
 37,40
 
Sony PlayStation 1 PS1 Console
model scph-7501
4.
4,00
each
14,99
 59,96
 10%
 65,96
 
Nintendo Wii Console - 2
Remotes w/ Covers, Nunchucks,
Sensor Sega Game Bundle
5.
1,00
each
85,00
 85,00
 10%
 93,50
 
Sony PlayStation 3 PS3 Super
Slim Black Console 20 GB
*Tested* Console & Cables
6.
4,00
each
99,95
 399,80
 10%
 439,78
 
Nintendo Gameboy Pocket
Console Green with Box
MGB-001 Japan Tested Working
55
7.
3,00
each
70,00
 210,00
 10%
 231,00
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 2 053,73
 205,37
 2 259,10
 
 Total
 $ 2 053,73
 $ 205,37
 $ 2 259,10"
19471831,4/9/2014,"Seller:
Palmer Ltd
9790 Bauer Hills Apt. 146
South Patriciaton, SD 32497
Tax Id: 924-71-1106
IBAN: GB05YUTG50853913677557
Client:
Rios, Oneill and Rowe
3571 Tina Trafficway
Buckleyland, LA 97688
Tax Id: 922-72-5979
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
15""x15"" White Decorative
Coffee Table Top Lapis Lazuli
Marquetery Patio Décor
1.
3,00
each
645,77
 1 937,31
10%
 2 131,04
4'x2' Marble Dining Table Top
Pietra Dura Birds Inlay Art
Furniture Decors B444
2.
5,00
each
1 840,10
9 200,50
10%
 10 120,55
60 Inches Marble Dinning Table
Top Hand Inlaid Garden Table
with Gemstones
3.
5,00
each
5 908,00
29 540,00
10%
 32 494,00
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 40 677,81
 4 067,78
 44 745,59
 
 Total
 $ 40 677,81
 $ 4 067,78
 $ 44 745,59","19471831 04/09/2014 Seller:
Palmer Ltd
9790 Bauer Hills Apt. 146
South Patriciaton, SD 32497
Tax Id: 924-71-1106
IBAN: GB05YUTG50853913677557
Client:
Rios, Oneill and Rowe
3571 Tina Trafficway
Buckleyland, LA 97688
Tax Id: 922-72-5979
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
15""x15"" White Decorative
Coffee Table Top Lapis Lazuli
Marquetery Patio Décor
1.
3,00
each
645,77
 1 937,31
10%
 2 131,04
4'x2' Marble Dining Table Top
Pietra Dura Birds Inlay Art
Furniture Decors B444
2.
5,00
each
1 840,10
9 200,50
10%
 10 120,55
60 Inches Marble Dinning Table
Top Hand Inlaid Garden Table
with Gemstones
3.
5,00
each
5 908,00
29 540,00
10%
 32 494,00
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 40 677,81
 4 067,78
 44 745,59
 
 Total
 $ 40 677,81
 $ 4 067,78
 $ 44 745,59"
22083742,3/1/2014,"Seller:
Smith, Schaefer and Gonzalez
Unit 1154 Box 8683
DPO AE 34629
Tax Id: 902-72-8574
IBAN: GB62IACN00896958403438
Client:
Smith-Petersen
05025 Mary Fall
Mackside, OR 70036
Tax Id: 934-70-6847
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
YILONG 4'x6' All over
Handmade Carpet Dining Room
Hand Knotted Silk Rugs 082B
1.
2,00
each
3 600,00
7 200,00
10%
 7 920,00
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 7 200,00
 720,00
 7 920,00
 
 Total
 $ 7 200,00
 $ 720,00
 $ 7 920,00","22083742 03/01/2014 Seller:
Smith, Schaefer and Gonzalez
Unit 1154 Box 8683
DPO AE 34629
Tax Id: 902-72-8574
IBAN: GB62IACN00896958403438
Client:
Smith-Petersen
05025 Mary Fall
Mackside, OR 70036
Tax Id: 934-70-6847
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
YILONG 4'x6' All over
Handmade Carpet Dining Room
Hand Knotted Silk Rugs 082B
1.
2,00
each
3 600,00
7 200,00
10%
 7 920,00
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 7 200,00
 720,00
 7 920,00
 
 Total
 $ 7 200,00
 $ 720,00
 $ 7 920,00"
24342647,5/7/2020,"Seller:
Davis, Evans and Cooper
475 Daniel Port
Moralesborough, OK 44662
Tax Id: 933-70-8828
IBAN: GB05CPFN10349037207241
Client:
Stephens-Goodman
5197 Rebekah Stravenue Suite 498
New Nicholasland, VA 18645
Tax Id: 910-72-5904
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
15""x15"" White Marble Coffee
Table Top With 15"" Tall Stand
Semi Precious Art Deco
1.
4,00
each
575,99
 2 303,96
10%
 2 534,36
12"" Marble Lapis Inlay Chess
Table Top With 2"" Pieces & 15""
Wooden Stand W537
2.
3,00
each
444,60
 1 333,80
10%
 1 467,18
18""x18"" White Hand Curved Top
Coffee Table Inlay Decorative
Gift For Her Wedding
3.
1,00
each
475,22
 475,22
 10%
 522,74
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 4 112,98
 411,30
 4 524,28
 
 Total
 $ 4 112,98
 $ 411,30
 $ 4 524,28","24342647 05/07/2020 Seller:
Davis, Evans and Cooper
475 Daniel Port
Moralesborough, OK 44662
Tax Id: 933-70-8828
IBAN: GB05CPFN10349037207241
Client:
Stephens-Goodman
5197 Rebekah Stravenue Suite 498
New Nicholasland, VA 18645
Tax Id: 910-72-5904
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
15""x15"" White Marble Coffee
Table Top With 15"" Tall Stand
Semi Precious Art Deco
1.
4,00
each
575,99
 2 303,96
10%
 2 534,36
12"" Marble Lapis Inlay Chess
Table Top With 2"" Pieces & 15""
Wooden Stand W537
2.
3,00
each
444,60
 1 333,80
10%
 1 467,18
18""x18"" White Hand Curved Top
Coffee Table Inlay Decorative
Gift For Her Wedding
3.
1,00
each
475,22
 475,22
 10%
 522,74
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 4 112,98
 411,30
 4 524,28
 
 Total
 $ 4 112,98
 $ 411,30
 $ 4 524,28"
12459784,8/19/2020,"Seller:
Smith, Johnson and Ramsey
3581 Ruben Gateway Suite 160
New Kayla, NH 28229
Tax Id: 902-96-4332
IBAN: GB87QEXA37903967899333
Client:
Russell-Cruz
USNV Olson
FPO AP 50747
Tax Id: 969-85-1568
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
The Great One: The Complete
Wayne Gretzky Collection
1.
4,00
each
 4,89
 19,56
 10%
 21,52
 
return to virgin river by robyn
carr
2.
4,00
each
 2,99
 11,96
 10%
 13,16
 
Michael Jackson: A Life in Music
(Paperback or Softback)
3.
2,00
each
12,33
 24,66
 10%
 27,13
 
Luke s Fate Star Wars
4.
3,00
each
 4,49
 13,47
 10%
 14,82
 
Little Women by Louisa May
Alcott Illustrated Brand New
Collectible Hardcover
5.
5,00
each
14,77
 73,85
 10%
 81,23
 
The Blooding by Joseph
Wambaugh
6.
1,00
each
 4,49
 4,49
 10%
 4,94
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 147,99
 14,80
 162,79
 
 Total
 $ 147,99
 $ 14,80
 $ 162,79","12459784 08/19/2020 Seller:
Smith, Johnson and Ramsey
3581 Ruben Gateway Suite 160
New Kayla, NH 28229
Tax Id: 902-96-4332
IBAN: GB87QEXA37903967899333
Client:
Russell-Cruz
USNV Olson
FPO AP 50747
Tax Id: 969-85-1568
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
The Great One: The Complete
Wayne Gretzky Collection
1.
4,00
each
 4,89
 19,56
 10%
 21,52
 
return to virgin river by robyn
carr
2.
4,00
each
 2,99
 11,96
 10%
 13,16
 
Michael Jackson: A Life in Music
(Paperback or Softback)
3.
2,00
each
12,33
 24,66
 10%
 27,13
 
Luke s Fate Star Wars
4.
3,00
each
 4,49
 13,47
 10%
 14,82
 
Little Women by Louisa May
Alcott Illustrated Brand New
Collectible Hardcover
5.
5,00
each
14,77
 73,85
 10%
 81,23
 
The Blooding by Joseph
Wambaugh
6.
1,00
each
 4,49
 4,49
 10%
 4,94
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 147,99
 14,80
 162,79
 
 Total
 $ 147,99
 $ 14,80
 $ 162,79"
54212825,5/1/2015,"Seller:
Hutchinson PLC
7046 Barrett Mount
Floresberg, AZ 86083
Tax Id: 959-74-2014
IBAN: GB39WGXJ06397307045703
Client:
Chapman-Long
245 Eric Rest Suite 622
Port Jimmyview, CO 68684
Tax Id: 953-85-0282
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Alcoholmeter Alcohol Meter
Wine 0-100%+Thermometer
Set Bar Tools Vintage Tester
1.
3,00
each
14,08
 42,24
 10%
 46,46
 
Vintage Wine Basket Holder - 3
Bottles
2.
2,00
each
32,99
 65,98
 10%
 72,58
 
Wagner Vineyards uncork new
york Wine Glass
3.
2,00
each
 3,99
 7,98
 10%
 8,78
 
Press Wine 15L Fruit Cider
Apple Crusher Juice Grape
Stainless Maker Grapes New
4.
1,00
each
279,00
 279,00
 10%
 306,90
 
100pcs Heat Shrink Capsules
PVC Wine Bottle Caps
Shrinkable Seal Film Covers
3cm
5.
4,00
each
 5,75
 23,00
 10%
 25,30
 
Cuisinart Stainless Steel Electric
Wine Opener - CWO-25 - Brand
New in the Box
6.
4,00
each
19,90
 79,60
 10%
 87,56
 
Stainless Steel Reusable
Vacuum Sealed Champagne
Red Wine Bottle Stopper Cap
New
7.
3,00
each
 1,20
 3,60
 10%
 3,96
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 501,40
 50,14
 551,54
 
 Total
 $ 501,40
 $ 50,14
 $ 551,54","54212825 05/01/2015 Seller:
Hutchinson PLC
7046 Barrett Mount
Floresberg, AZ 86083
Tax Id: 959-74-2014
IBAN: GB39WGXJ06397307045703
Client:
Chapman-Long
245 Eric Rest Suite 622
Port Jimmyview, CO 68684
Tax Id: 953-85-0282
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Alcoholmeter Alcohol Meter
Wine 0-100%+Thermometer
Set Bar Tools Vintage Tester
1.
3,00
each
14,08
 42,24
 10%
 46,46
 
Vintage Wine Basket Holder - 3
Bottles
2.
2,00
each
32,99
 65,98
 10%
 72,58
 
Wagner Vineyards uncork new
york Wine Glass
3.
2,00
each
 3,99
 7,98
 10%
 8,78
 
Press Wine 15L Fruit Cider
Apple Crusher Juice Grape
Stainless Maker Grapes New
4.
1,00
each
279,00
 279,00
 10%
 306,90
 
100pcs Heat Shrink Capsules
PVC Wine Bottle Caps
Shrinkable Seal Film Covers
3cm
5.
4,00
each
 5,75
 23,00
 10%
 25,30
 
Cuisinart Stainless Steel Electric
Wine Opener - CWO-25 - Brand
New in the Box
6.
4,00
each
19,90
 79,60
 10%
 87,56
 
Stainless Steel Reusable
Vacuum Sealed Champagne
Red Wine Bottle Stopper Cap
New
7.
3,00
each
 1,20
 3,60
 10%
 3,96
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 501,40
 50,14
 551,54
 
 Total
 $ 501,40
 $ 50,14
 $ 551,54"
74184749,3/7/2015,"Seller:
Klein and Sons
Unit 6028 Box 0366
DPO AP 38632
Tax Id: 963-86-0433
IBAN: GB69IFZX47543651270054
Client:
Liu-Perry
6914 Carolyn Circle
Eugenefort, VA 31831
Tax Id: 990-98-8702
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Stemless wine glass Etched
coordinates of Myakka River
State Park, Very Good
1.
1,00
each
 2,99
 2,99
 10%
 3,29
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 2,99
 0,30
 3,29
 
 Total
 $ 2,99
 $ 0,30
 $ 3,29","74184749 03/07/2015 Seller:
Klein and Sons
Unit 6028 Box 0366
DPO AP 38632
Tax Id: 963-86-0433
IBAN: GB69IFZX47543651270054
Client:
Liu-Perry
6914 Carolyn Circle
Eugenefort, VA 31831
Tax Id: 990-98-8702
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Stemless wine glass Etched
coordinates of Myakka River
State Park, Very Good
1.
1,00
each
 2,99
 2,99
 10%
 3,29
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 2,99
 0,30
 3,29
 
 Total
 $ 2,99
 $ 0,30
 $ 3,29"
36475327,8/23/2020,"Seller:
Faulkner Group
956 Dennis Cliffs Apt. 138
West Haley, DE 93178
Tax Id: 902-95-7823
IBAN: GB78YNHU63382554245346
Client:
Mendoza-Scott
581 Christian Canyon
Paulburgh, NV 98729
Tax Id: 976-79-4311
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Dell Optiplex XE2 SFF Desktop
Computer W10 Pro Licensed
1.
3,00
each
99,00
 297,00
 10%
 326,70
 
Custom Build Dell Desktop
Computer i5 | 16GB | 1TB SSD |
HDMI Windows 10 PC WiFi
2.
1,00
each
99,00
 99,00
 10%
 108,90
 
custom gaming computer
3.
4,00
each
450,00
 1 800,00
10%
 1 980,00
Dell Optiplex Windows 10 Pro
Desktop Computer PC i5 4th
Gen 3.2GHz 8 GB 2 TB HDD
4.
3,00
each
149,95
 449,85
 10%
 494,83
 
HP Desktop Computers Core i5
16GB 2TB 256GB SSD Wifi 22""
LCD Windows 10 Pro PC
5.
5,00
each
139,95
 699,75
 10%
 769,73
 
2 Gaming Computers
6.
1,00
each
1 300,00
1 300,00
10%
 1 430,00
HP All-in-One Computer 22”
Full-HD Display Intel 2.90GHz
4GB 1TB HD Win10 - TEAL
7.
1,00
each
449,99
 449,99
 10%
 494,99
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 5 095,59
 509,56
 5 605,15
 
 Total
 $ 5 095,59
 $ 509,56
 $ 5 605,15","36475327 08/23/2020 Seller:
Faulkner Group
956 Dennis Cliffs Apt. 138
West Haley, DE 93178
Tax Id: 902-95-7823
IBAN: GB78YNHU63382554245346
Client:
Mendoza-Scott
581 Christian Canyon
Paulburgh, NV 98729
Tax Id: 976-79-4311
ITEMS
No.
Description
Qty
UM
Net price
Net worth
VAT [%]
Gross
worth
 
Dell Optiplex XE2 SFF Desktop
Computer W10 Pro Licensed
1.
3,00
each
99,00
 297,00
 10%
 326,70
 
Custom Build Dell Desktop
Computer i5 | 16GB | 1TB SSD |
HDMI Windows 10 PC WiFi
2.
1,00
each
99,00
 99,00
 10%
 108,90
 
custom gaming computer
3.
4,00
each
450,00
 1 800,00
10%
 1 980,00
Dell Optiplex Windows 10 Pro
Desktop Computer PC i5 4th
Gen 3.2GHz 8 GB 2 TB HDD
4.
3,00
each
149,95
 449,85
 10%
 494,83
 
HP Desktop Computers Core i5
16GB 2TB 256GB SSD Wifi 22""
LCD Windows 10 Pro PC
5.
5,00
each
139,95
 699,75
 10%
 769,73
 
2 Gaming Computers
6.
1,00
each
1 300,00
1 300,00
10%
 1 430,00
HP All-in-One Computer 22”
Full-HD Display Intel 2.90GHz
4GB 1TB HD Win10 - TEAL
7.
1,00
each
449,99
 449,99
 10%
 494,99
 
SUMMARY
VAT [%]
 Net worth
 VAT
 Gross worth
 
10%
 5 095,59
 509,56
 5 605,15
 
 Total
 $ 5 095,59
 $ 509,56
 $ 5 605,15"
